16:52:11 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:52:12^3^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a, 1)。
陳述式已經結束。
陳述式已經結束。
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 84 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 85 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 86 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 87 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 88 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 89 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 90 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 91 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 92 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 93 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 94 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 95 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 96 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 97 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 98 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 99 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 100 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 101 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 102 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 103 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 104 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 105 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 106 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 107 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 108 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 109 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 110 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 111 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 112 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 113 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 114 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 115 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 116 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 117 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 118 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 119 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 120 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 121 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 122 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 123 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 124 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 125 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 126 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 127 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 128 筆資料
16:54:26 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 129 筆資料
